molecule,voltage_vacuum_v,voltage_li_v,fraction_reduced,mean_charge_e
EC,-1.2399999999999998,0.16000000000000014,0.9999938023652591,-0.9999938023652591
EC,-1.2299999999999998,0.17000000000000015,0.9999908753266801,-0.9999908753266801
EC,-1.2199999999999998,0.18000000000000016,0.9999865659156147,-0.9999865659156147
EC,-1.2099999999999997,0.19000000000000017,0.9999802212912587,-0.9999802212912587
EC,-1.1999999999999997,0.20000000000000018,0.9999708803267829,-0.9999708803267829
EC,-1.1899999999999997,0.2100000000000002,0.9999571280593413,-0.9999571280593413
EC,-1.1799999999999997,0.2200000000000002,0.9999368814565844,-0.9999368814565844
EC,-1.1699999999999997,0.2300000000000002,0.9999070741289652,-0.9999070741289652
EC,-1.1599999999999997,0.2400000000000002,0.9998631924077739,-0.9998631924077739
EC,-1.1499999999999997,0.2500000000000002,0.9997985929083506,-0.9997985929083506
EC,-1.1399999999999997,0.26000000000000023,0.9997034990645575,-0.9997034990645575
EC,-1.1299999999999997,0.27000000000000024,0.9995635265062233,-0.9995635265062233
EC,-1.1199999999999997,0.28000000000000025,0.999357517982058,-0.999357517982058
EC,-1.1099999999999997,0.29000000000000026,0.9990543687082742,-0.9990543687082742
EC,-1.0999999999999996,0.30000000000000027,0.9986083804004122,-0.9986083804004122
EC,-1.0899999999999996,0.3100000000000003,0.9979524816082134,-0.9979524816082134
EC,-1.0799999999999996,0.3200000000000003,0.9969883766006625,-0.9969883766006625
EC,-1.0699999999999996,0.3300000000000003,0.9955723222940129,-0.9955723222940129
EC,-1.0599999999999996,0.3400000000000003,0.9934947888384685,-0.9934947888384685
EC,-1.0499999999999996,0.3500000000000003,0.9904517942953113,-0.9904517942953113
EC,-1.0399999999999996,0.3600000000000003,0.986005404892669,-0.986005404892669
EC,-1.0299999999999996,0.37000000000000033,0.9795312206744097,-0.9795312206744097
EC,-1.0199999999999996,0.38000000000000034,0.9701526116148603,-0.9701526116148603
EC,-1.0099999999999996,0.39000000000000035,0.9566669107639026,-0.9566669107639026
EC,-0.9999999999999996,0.40000000000000036,0.9374807342937475,-0.9374807342937475
EC,-0.9899999999999995,0.41000000000000036,0.9105935772832016,-0.9105935772832016
EC,-0.9799999999999995,0.4200000000000004,0.873701082524266,-0.873701082524266
EC,-0.9699999999999995,0.4300000000000004,0.8245190198954863,-0.8245190198954863
EC,-0.9599999999999995,0.4400000000000004,0.7614148811484597,-0.7614148811484597
EC,-0.9499999999999995,0.4500000000000004,0.6843066812788429,-0.6843066812788429
EC,-0.9399999999999995,0.4600000000000004,0.5955163791976663,-0.5955163791976663
EC,-0.9299999999999995,0.4700000000000004,0.5000000876663521,-0.5000000876663521
EC,-0.9199999999999995,0.4800000000000004,0.4044837897365439,-0.4044837897365439
EC,-0.9099999999999995,0.49000000000000044,0.31569347023040767,-0.31569347023040767
EC,-0.8999999999999995,0.5000000000000004,0.23858524625690483,-0.23858524625690483
EC,-0.8899999999999995,0.5100000000000005,0.1754810815782733,-0.1754810815782733
EC,-0.8799999999999994,0.5200000000000005,0.12629899486585716,-0.12629899486585716
EC,-0.8699999999999994,0.5300000000000005,0.0894064798142006,-0.0894064798142006
EC,-0.8599999999999994,0.5400000000000005,0.06251930681169003,-0.06251930681169003
EC,-0.8499999999999994,0.5500000000000005,0.04333311831000908,-0.04333311831000908
EC,-0.8399999999999994,0.5600000000000005,0.029847408693247507,-0.029847408693247507
EC,-0.8299999999999994,0.5700000000000005,0.020468793387143764,-0.020468793387143764
EC,-0.8199999999999994,0.5800000000000005,0.013994604784820393,-0.013994604784820393
EC,-0.8099999999999994,0.5900000000000005,0.009548212337202735,-0.009548212337202735
EC,-0.7999999999999994,0.6000000000000005,0.0065052156941593385,-0.0065052156941593385
EC,-0.7899999999999994,0.6100000000000005,0.004427680797505801,-0.004427680797505801
EC,-0.7799999999999994,0.6200000000000006,0.003011625505121608,-0.003011625505121608
EC,-0.7699999999999994,0.6300000000000006,0.0020475198248347576,-0.0020475198248347576
EC,-0.7599999999999993,0.6400000000000006,0.001391620574215592,-0.001391620574215592
EC,-0.7499999999999993,0.6500000000000006,0.000945631954299157,-0.000945631954299157
EC,-0.7399999999999993,0.6600000000000006,0.0006424824682452092,-0.0006424824682452092
EC,-0.7299999999999993,0.6700000000000006,0.00043647379975554406,-0.00043647379975554406
EC,-0.7199999999999993,0.6800000000000006,0.00029650114332624824,-0.00029650114332624824
EC,-0.7099999999999993,0.6900000000000006,0.00020140723287402596,-0.00020140723287402596
EC,-0.6999999999999993,0.7000000000000006,0.0001368076881604782,-0.0001368076881604782
EC,-0.6899999999999993,0.7100000000000006,9.292593620045366e-05,-9.292593620045366e-05
EC,-0.6799999999999993,0.7200000000000006,6.311858767984077e-05,-6.311858767984077e-05
